Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Distance_km,Order_picked_hour,Pickup_delay_minute
25,4.0,Cloudy,High,1,motorcycle ,1,No ,Metropolitian ,34,6.1,12,5.0
27,5.0,Stormy,Jam,0,motorcycle ,0,No ,Urban ,18,4.5,20,5.0
35,4.3,Cloudy,Low,1,scooter ,0,No ,Metropolitian ,38,13.7,23,10.0
32,4.0,Windy,Jam,0,motorcycle ,1,No ,Metropolitian ,47,14.0,21,15.0
23,4.8,Windy,Low,2,electric_scooter ,0,No ,Urban ,12,16.9,23,10.0
31,4.8,Sandstorms,Low,2,motorcycle ,1,No ,Metropolitian ,26,4.7,22,15.0
36,4.1,Stormy,Low,0,motorcycle ,1,No ,Urban ,22,7.6,22,5.0
26,4.3,Sandstorms,Low,0,motorcycle ,0,No ,Urban ,21,7.7,23,10.0
38,4.9,Cloudy,High,1,scooter ,1,No ,Urban ,25,6.2,13,5.0
32,4.6,Cloudy,Low,2,scooter ,1,No ,Metropolitian ,30,19.9,22,10.0
33,4.9,Sunny,Medium,1,motorcycle ,1,No ,Metropolitian ,22,10.7,19,15.0
20,4.7,Windy,High,1,scooter ,0,No ,Urban ,10,6.1,14,10.0
20,4.8,Sandstorms,Low,2,scooter ,1,No ,Metropolitian ,19,1.5,11,10.0
35,5.0,Sunny,Low,2,scooter ,1,No ,Urban ,11,3.1,9,10.0
26,4.9,Stormy,Low,2,scooter ,0,No ,Metropolitian ,11,3.1,8,15.0
22,4.8,Fog,Low,1,motorcycle ,1,No ,Metropolitian ,28,10.9,23,10.0
29,4.7,Cloudy,Medium,1,scooter ,1,No ,Metropolitian ,33,12.2,18,9.0
37,4.7,Sandstorms,Jam,0,motorcycle ,3,No ,Metropolitian ,52,13.7,19,5.0
28,4.6,Stormy,Jam,1,scooter ,1,No ,Metropolitian ,22,16.8,19,15.0
37,4.9,Fog,Low,1,scooter ,1,No ,Urban ,16,3.0,11,5.0
23,4.9,Sunny,Jam,2,electric_scooter ,0,No ,Metropolitian ,11,9.2,21,5.0
27,4.9,Windy,Medium,1,scooter ,1,No ,Metropolitian ,25,9.3,19,15.0
37,4.8,Cloudy,Medium,0,motorcycle ,1,No ,Urban ,26,6.2,16,10.0
33,5.0,Sunny,High,2,scooter ,1,No ,Metropolitian ,18,1.5,11,10.0
31,4.9,Fog,Medium,1,motorcycle ,1,No ,Metropolitian ,16,6.0,15,5.0
31,4.8,Stormy,Low,2,scooter ,1,No ,Metropolitian ,23,17.1,22,10.0
28,4.8,Sandstorms,Jam,0,motorcycle ,1,No ,Metropolitian ,36,12.5,20,10.0
31,4.7,Cloudy,Low,2,motorcycle ,0,No ,Metropolitian ,16,9.1,23,15.0
24,4.7,Sunny,Medium,0,motorcycle ,0,No ,Urban ,19,14.0,18,5.0
39,4.6,Sunny,Low,1,motorcycle ,1,No ,Metropolitian ,27,13.4,23,15.0
32,4.5,Windy,Low,2,scooter ,0,No ,Metropolitian ,20,1.5,9,15.0
25,4.8,Sandstorms,Low,1,scooter ,0,No ,Urban ,18,11.9,22,10.0
33,4.9,Sunny,Jam,2,scooter ,0,No ,Metropolitian ,22,4.7,22,5.0
30,4.4,Cloudy,Low,2,scooter ,1,No ,Metropolitian ,34,10.6,22,15.0
33,5.0,Sandstorms,Low,0,motorcycle ,0,No ,Urban ,24,16.8,23,5.0
36,4.9,Fog,Medium,2,scooter ,1,No ,Metropolitian ,17,6.1,15,15.0
21,4.8,Sandstorms,Low,2,electric_scooter ,0,No ,Metropolitian ,14,3.0,10,10.0
39,4.9,Stormy,Jam,2,motorcycle ,1,No ,Metropolitian ,30,7.3,21,5.0
22,4.7,Sunny,High,1,scooter ,1,No ,Urban ,18,6.1,12,5.0
32,4.6,Fog,Medium,1,scooter ,0,No ,Metropolitian ,17,6.1,15,15.0
26,4.7,Fog,Low,1,motorcycle ,0,No ,Metropolitian ,10,9.2,0,15.0
39,4.6,Fog,Jam,1,scooter ,2,No ,Metropolitian ,44,14.0,21,10.0
34,4.7,Windy,High,2,electric_scooter ,1,No ,Metropolitian ,28,6.1,12,10.0
27,4.7,Cloudy,Jam,2,scooter ,1,No ,Metropolitian ,42,17.1,21,15.0
25,4.7,Stormy,Medium,0,motorcycle ,0,No ,Urban ,20,16.8,18,5.0
30,5.0,Stormy,High,1,motorcycle ,1,No ,Metropolitian ,31,3.0,11,5.0
24,4.6,Stormy,Jam,1,motorcycle ,0,No ,Metropolitian ,13,9.2,20,10.0
39,4.8,Stormy,Jam,1,motorcycle ,0,No ,Metropolitian ,28,7.7,22,15.0
25,4.8,Windy,High,1,scooter ,1,No ,Urban ,19,6.2,12,5.0
37,4.6,Fog,Low,0,motorcycle ,2,Yes ,Urban ,42,12.2,23,15.0
24,5.0,Fog,Low,0,motorcycle ,1,No ,Metropolitian ,23,1.6,10,5.0
25,4.2,Stormy,Jam,0,motorcycle ,1,No ,Metropolitian ,39,16.9,21,15.0
32,4.6,Stormy,Low,2,motorcycle ,1,No ,Metropolitian ,25,1.5,10,10.0
38,4.9,Cloudy,Low,2,scooter ,1,No ,Urban ,15,3.0,8,15.0
36,4.8,Sunny,Medium,2,electric_scooter ,0,No ,Metropolitian ,15,13.4,17,5.0
25,5.0,Stormy,Jam,1,motorcycle ,0,No ,Metropolitian ,15,16.7,20,15.0
29,5.0,Sunny,Low,0,motorcycle ,0,No ,Metropolitian ,18,7.8,22,5.0
36,4.7,Sandstorms,Low,2,electric_scooter ,0,No ,Metropolitian ,29,13.8,23,10.0
33,4.7,Fog,Low,0,motorcycle ,0,No ,Metropolitian ,20,7.8,23,5.0
36,4.4,Cloudy,High,2,scooter ,1,No ,Metropolitian ,39,6.2,12,15.0
21,4.8,Windy,Low,0,motorcycle ,0,No ,Metropolitian ,19,16.9,23,15.0
25,4.8,Cloudy,Low,1,scooter ,1,No ,Urban ,19,4.6,0,15.0
23,4.8,Windy,Low,0,motorcycle ,0,No ,Metropolitian ,17,19.9,23,10.0
25,4.6,Stormy,Low,2,motorcycle ,1,No ,Urban ,15,1.6,10,15.0
24,4.3,Sandstorms,Low,0,motorcycle ,0,No ,Urban ,19,3.0,9,15.0
27,4.6,Sandstorms,Jam,0,motorcycle ,1,No ,Metropolitian ,29,14.0,21,15.0
23,4.8,Cloudy,Low,2,scooter ,1,No ,Urban ,22,16.8,22,5.0
21,4.3,Fog,Jam,1,scooter ,0,No ,Metropolitian ,42,20.2,20,10.0
27,4.7,Sandstorms,Low,2,scooter ,0,No ,Urban ,12,3.0,11,15.0
32,4.2,Cloudy,Jam,1,motorcycle ,1,No ,Metropolitian ,38,20.3,20,10.0
25,4.6,Sunny,Low,0,motorcycle ,1,No ,Metropolitian ,23,16.7,23,15.0
39,4.7,Cloudy,Low,1,scooter ,0,No ,Metropolitian ,15,3.0,10,15.0
27,4.6,Sunny,Low,0,motorcycle ,1,No ,Metropolitian ,24,12.2,23,5.0
39,3.8,Windy,Jam,1,motorcycle ,0,No ,Metropolitian ,37,16.8,20,5.0
31,4.8,Sandstorms,Low,1,scooter ,0,No ,Metropolitian ,24,7.8,22,10.0
31,4.8,Sunny,Low,2,electric_scooter ,0,No ,Metropolitian ,13,9.1,23,5.0
20,4.8,Cloudy,Low,0,motorcycle ,0,No ,Metropolitian ,16,1.6,9,15.0
36,4.9,Cloudy,Medium,0,motorcycle ,1,No ,Urban ,42,12.1,18,10.0
20,4.9,Sandstorms,Low,0,motorcycle ,1,No ,Metropolitian ,17,13.6,22,10.0
24,4.6,Cloudy,Jam,0,motorcycle ,0,No ,Metropolitian ,25,4.5,21,15.0
39,4.2,Fog,Medium,1,scooter ,0,No ,Metropolitian ,39,16.6,18,5.0
37,4.8,Sunny,High,2,scooter ,0,No ,Metropolitian ,18,6.2,15,10.0
32,4.9,Sandstorms,Medium,2,motorcycle ,1,No ,Metropolitian ,28,6.2,17,10.0
22,4.5,Sandstorms,Low,1,scooter ,1,No ,Metropolitian ,18,7.5,22,15.0
23,4.9,Windy,Low,1,scooter ,0,No ,Metropolitian ,18,20.3,0,15.0
33,4.7,Fog,Jam,1,scooter ,1,No ,Metropolitian ,49,16.6,21,10.0
23,4.7,Sunny,Low,0,motorcycle ,0,No ,Metropolitian ,15,4.5,23,10.0
27,4.6,Sunny,Low,0,motorcycle ,1,No ,Metropolitian ,21,12.4,23,5.0
34,4.7,Sunny,High,2,scooter ,0,No ,Metropolitian ,23,6.1,14,15.0
26,5.0,Fog,Low,2,scooter ,1,No ,Urban ,11,1.5,10,10.0
31,4.6,Cloudy,Jam,0,motorcycle ,0,No ,Metropolitian ,25,9.1,21,15.0
32,4.9,Fog,Low,2,motorcycle ,0,No ,Metropolitian ,18,3.1,8,5.0
27,4.7,Cloudy,Low,1,motorcycle ,0,No ,Metropolitian ,14,3.0,9,5.0
21,4.9,Windy,Medium,0,motorcycle ,2,No ,Metropolitian ,36,14.0,18,15.0
28,4.8,Fog,Low,1,motorcycle ,0,No ,Metropolitian ,18,7.8,23,5.0
33,4.4,Sandstorms,Low,0,motorcycle ,1,No ,Metropolitian ,28,1.5,8,10.0
20,4.6,Fog,Jam,0,motorcycle ,0,Yes ,Metropolitian ,44,14.0,20,15.0
31,4.3,Windy,Low,0,motorcycle ,1,No ,Metropolitian ,20,9.3,23,15.0
29,4.7,Stormy,Low,2,scooter ,0,No ,Metropolitian ,19,4.6,23,9.0
36,5.0,Fog,Jam,1,motorcycle ,1,No ,Metropolitian ,35,10.6,20,10.0
39,4.1,Stormy,Jam,1,scooter ,1,No ,Metropolitian ,34,9.2,21,5.0
29,4.6,Sunny,Jam,2,electric_scooter ,0,No ,Metropolitian ,17,12.2,19,15.0
29,4.6,Sandstorms,High,1,scooter ,0,No ,Urban ,23,6.1,15,10.0
37,4.9,Fog,Medium,0,motorcycle ,1,No ,Metropolitian ,27,4.7,18,10.0
31,3.9,Cloudy,Low,1,scooter ,1,No ,Metropolitian ,35,10.7,23,10.0
26,4.4,Sandstorms,Low,0,motorcycle ,0,No ,Metropolitian ,23,9.3,23,10.0
24,4.6,Stormy,Medium,0,motorcycle ,0,No ,Metropolitian ,30,17.1,18,10.0
39,4.8,Cloudy,High,0,motorcycle ,1,No ,Metropolitian ,28,6.2,12,15.0
20,4.7,Sandstorms,Medium,0,motorcycle ,1,No ,Metropolitian ,24,12.5,17,10.0
20,5.0,Cloudy,Jam,0,motorcycle ,1,No ,Urban ,36,20.2,19,15.0
29,4.3,Sandstorms,Low,0,motorcycle ,0,No ,Metropolitian ,28,9.1,23,5.0
36,4.8,Fog,Medium,2,motorcycle ,1,No ,Urban ,31,17.1,18,5.0
36,4.0,Sunny,Jam,0,motorcycle ,3,No ,Metropolitian ,44,13.6,20,5.0
22,4.8,Windy,Low,1,scooter ,1,No ,Metropolitian ,15,12.1,22,15.0
38,4.4,Windy,Medium,0,motorcycle ,1,No ,Metropolitian ,33,10.7,17,5.0
39,4.9,Fog,Jam,0,motorcycle ,0,No ,Metropolitian ,30,7.6,20,15.0
24,4.9,Stormy,Medium,1,scooter ,1,No ,Metropolitian ,22,7.6,18,10.0
35,4.8,Fog,Medium,0,motorcycle ,3,No ,Metropolitian ,48,13.8,17,10.0
39,4.7,Windy,Medium,1,motorcycle ,1,No ,Urban ,21,10.9,18,5.0
31,4.3,Windy,Jam,1,motorcycle ,0,No ,Metropolitian ,44,12.1,21,10.0
37,4.5,Windy,Low,2,scooter ,0,No ,Metropolitian ,26,1.6,8,15.0
37,4.7,Windy,Low,1,scooter ,1,No ,Metropolitian ,26,4.7,22,5.0
33,5.0,Windy,High,1,motorcycle ,1,No ,Metropolitian ,31,1.5,11,5.0
33,4.5,Sunny,Jam,1,scooter ,0,No ,Metropolitian ,18,11.9,19,5.0
39,4.7,Fog,Medium,2,motorcycle ,1,No ,Metropolitian ,38,10.5,19,15.0
37,4.6,Cloudy,Medium,1,motorcycle ,1,No ,Metropolitian ,32,13.6,18,10.0
25,4.9,Sandstorms,Low,2,scooter ,1,No ,Metropolitian ,17,7.7,22,5.0
28,4.8,Fog,Medium,1,scooter ,1,No ,Urban ,11,9.2,19,5.0
38,4.7,Windy,High,2,motorcycle ,1,No ,Metropolitian ,31,6.2,13,10.0
29,4.7,Sandstorms,Medium,0,motorcycle ,0,No ,Metropolitian ,43,10.4,17,9.0
31,4.6,Windy,Medium,0,motorcycle ,0,No ,Metropolitian ,25,9.3,18,10.0
25,4.8,Cloudy,Jam,2,motorcycle ,1,No ,Metropolitian ,22,9.2,20,15.0
35,4.9,Fog,Jam,0,motorcycle ,3,No ,Metropolitian ,43,10.9,21,5.0
39,4.7,Fog,Jam,0,motorcycle ,1,Yes ,Metropolitian ,42,10.6,19,10.0
38,3.9,Stormy,Jam,1,motorcycle ,0,No ,Metropolitian ,42,12.1,19,10.0
29,4.7,Sandstorms,Low,1,motorcycle ,1,No ,Metropolitian ,17,3.0,10,15.0
27,4.6,Stormy,Jam,1,scooter ,0,No ,Metropolitian ,25,4.6,20,5.0
38,4.3,Sandstorms,Jam,0,motorcycle ,1,Yes ,Semi-Urban ,54,14.0,21,10.0
36,4.9,Windy,Low,2,motorcycle ,0,No ,Metropolitian ,21,10.6,23,15.0
26,4.0,Cloudy,High,1,motorcycle ,0,No ,Metropolitian ,34,6.1,15,10.0
26,4.1,Fog,Jam,2,motorcycle ,1,No ,Metropolitian ,36,13.4,19,5.0
36,4.9,Sunny,Medium,1,motorcycle ,0,No ,Metropolitian ,17,9.3,17,10.0
21,4.7,Sunny,Low,0,motorcycle ,1,No ,Metropolitian ,16,1.5,9,10.0
35,4.7,Sunny,Jam,2,electric_scooter ,1,No ,Metropolitian ,27,12.4,20,5.0
20,4.5,Fog,High,2,motorcycle ,1,No ,Metropolitian ,26,6.2,12,5.0
23,4.6,Fog,Jam,0,motorcycle ,2,Yes ,Metropolitian ,46,13.8,21,15.0
37,5.0,Sunny,Jam,0,motorcycle ,0,No ,Metropolitian ,29,9.1,20,10.0
26,4.8,Sandstorms,Jam,0,motorcycle ,1,No ,Metropolitian ,23,9.3,19,5.0
29,5.0,Sandstorms,Low,1,scooter ,0,No ,Urban ,11,12.2,22,15.0
26,4.9,Stormy,Medium,1,motorcycle ,0,No ,Metropolitian ,28,16.6,17,15.0
29,4.8,Cloudy,Jam,0,motorcycle ,1,No ,Metropolitian ,25,9.2,19,5.0
29,4.7,Sandstorms,Low,2,motorcycle ,0,No ,Metropolitian ,11,3.0,10,15.0
21,4.9,Windy,Medium,1,scooter ,1,No ,Metropolitian ,26,4.4,18,10.0
22,4.3,Stormy,Low,0,motorcycle ,1,No ,Metropolitian ,23,3.1,10,15.0
31,4.0,Fog,Medium,1,motorcycle ,2,No ,Metropolitian ,39,11.9,18,15.0
20,4.5,Fog,Low,1,motorcycle ,0,No ,Metropolitian ,11,3.1,9,10.0
30,3.9,Stormy,Jam,2,electric_scooter ,0,No ,Metropolitian ,32,12.1,20,15.0
36,4.8,Fog,Medium,0,motorcycle ,1,No ,Metropolitian ,43,10.9,18,15.0
24,4.7,Fog,Medium,1,scooter ,0,No ,Metropolitian ,13,6.2,15,10.0
32,4.7,Windy,Low,2,electric_scooter ,0,No ,Metropolitian ,25,1.6,9,10.0
25,5.0,Windy,Medium,1,motorcycle ,0,No ,Metropolitian ,27,9.3,18,5.0
27,4.5,Windy,Medium,2,scooter ,1,No ,Metropolitian ,29,6.1,15,15.0
32,4.1,Sandstorms,Medium,0,motorcycle ,1,No ,Metropolitian ,33,10.9,18,15.0
39,4.4,Sunny,Medium,0,motorcycle ,1,No ,Metropolitian ,33,20.2,18,5.0
20,4.8,Windy,Medium,2,electric_scooter ,0,No ,Metropolitian ,15,11.9,18,10.0
29,4.6,Stormy,Jam,1,scooter ,1,No ,Metropolitian ,29,4.5,20,15.0
26,4.9,Stormy,Low,2,scooter ,1,No ,Metropolitian ,18,20.9,23,5.0
25,5.0,Stormy,Low,1,motorcycle ,1,No ,Metropolitian ,14,1.6,11,5.0
34,4.7,Windy,Medium,1,motorcycle ,1,No ,Metropolitian ,30,6.2,16,15.0
31,4.9,Sunny,High,0,motorcycle ,0,No ,Metropolitian ,28,6.2,15,15.0
30,4.9,Cloudy,Medium,2,motorcycle ,0,No ,Metropolitian ,30,13.8,19,15.0
36,4.8,Sandstorms,Medium,0,motorcycle ,1,No ,Metropolitian ,36,19.4,18,5.0
36,4.4,Fog,Low,0,motorcycle ,0,No ,Metropolitian ,37,20.9,23,15.0
26,4.7,Cloudy,Jam,0,motorcycle ,1,No ,Metropolitian ,43,20.9,19,5.0
30,4.6,Sunny,Low,2,scooter ,1,No ,Metropolitian ,29,16.7,23,10.0
33,4.7,Fog,Medium,2,electric_scooter ,1,No ,Urban ,15,7.8,18,15.0
34,4.0,Windy,Jam,0,motorcycle ,2,No ,Metropolitian ,39,13.8,21,5.0
36,4.6,Windy,Low,0,motorcycle ,1,No ,Metropolitian ,20,12.3,23,10.0
33,4.6,Fog,Low,1,motorcycle ,1,No ,Metropolitian ,15,3.0,11,10.0
22,4.8,Sandstorms,Low,1,motorcycle ,1,No ,Metropolitian ,16,16.8,23,15.0
38,4.7,Sunny,Low,2,scooter ,1,No ,Metropolitian ,19,1.5,11,15.0
27,4.9,Fog,Low,2,scooter ,0,No ,Metropolitian ,20,12.4,23,15.0
32,4.8,Sunny,Jam,2,scooter ,1,No ,Metropolitian ,25,10.4,21,10.0
26,4.8,Cloudy,Jam,0,motorcycle ,1,No ,Metropolitian ,43,12.4,19,10.0
29,4.5,Windy,Low,0,motorcycle ,0,No ,Urban ,15,19.7,23,10.0
31,4.5,Sunny,Jam,0,motorcycle ,0,No ,Urban ,29,12.5,20,15.0
28,4.6,Stormy,High,2,motorcycle ,0,No ,Metropolitian ,14,6.1,12,15.0
21,4.8,Sunny,Medium,1,motorcycle ,1,No ,Metropolitian ,11,8.9,19,5.0
21,4.0,Sandstorms,Low,0,motorcycle ,0,No ,Metropolitian ,19,7.8,22,5.0
29,4.7,Cloudy,Medium,2,motorcycle ,1,No ,Urban ,11,6.0,15,5.0
20,4.8,Sunny,High,1,motorcycle ,0,No ,Metropolitian ,14,1.5,11,10.0
28,5.0,Windy,Low,0,motorcycle ,0,No ,Urban ,15,13.7,22,10.0
25,4.7,Sandstorms,Low,0,motorcycle ,1,No ,Metropolitian ,16,10.7,23,10.0
38,4.8,Stormy,Low,1,motorcycle ,1,No ,Metropolitian ,20,3.1,10,5.0
39,4.9,Stormy,Low,1,motorcycle ,1,No ,Metropolitian ,26,4.6,22,10.0
26,4.9,Windy,Medium,1,scooter ,0,No ,Metropolitian ,26,9.1,17,5.0
33,4.4,Windy,Jam,1,motorcycle ,0,No ,Urban ,43,10.9,21,15.0
24,4.6,Sandstorms,Medium,0,motorcycle ,1,No ,Urban ,25,9.1,18,10.0
24,4.9,Fog,Medium,0,motorcycle ,1,No ,Metropolitian ,28,6.2,15,10.0
33,4.5,Stormy,Low,2,scooter ,0,No ,Metropolitian ,17,13.6,23,15.0
35,4.2,Windy,Jam,1,motorcycle ,1,No ,Metropolitian ,44,13.6,19,10.0
27,4.2,Stormy,Jam,0,motorcycle ,1,No ,Metropolitian ,33,13.8,20,5.0
29,4.5,Sunny,Medium,0,motorcycle ,0,No ,Metropolitian ,15,4.7,18,5.0
34,4.7,Fog,Low,1,scooter ,1,No ,Metropolitian ,27,19.3,23,10.0
20,4.7,Cloudy,High,2,scooter ,1,No ,Metropolitian ,25,3.0,11,15.0
29,4.8,Sunny,High,1,motorcycle ,1,No ,Metropolitian ,18,6.1,13,5.0
22,4.9,Stormy,Medium,2,scooter ,0,No ,Metropolitian ,21,9.1,18,5.0
35,4.9,Cloudy,Jam,0,motorcycle ,2,No ,Metropolitian ,53,10.4,21,15.0
32,4.4,Sandstorms,Jam,0,motorcycle ,3,No ,Metropolitian ,42,17.2,21,10.0
28,4.9,Sunny,Jam,2,motorcycle ,1,No ,Metropolitian ,20,16.1,21,15.0
30,4.7,Fog,Low,1,scooter ,0,No ,Metropolitian ,29,20.3,22,10.0
36,4.7,Fog,Medium,0,motorcycle ,1,No ,Metropolitian ,30,7.8,18,15.0
23,4.8,Windy,Jam,0,motorcycle ,1,No ,Metropolitian ,28,19.8,20,5.0
22,4.8,Stormy,Low,2,motorcycle ,1,No ,Metropolitian ,19,3.0,10,5.0
29,4.5,Sandstorms,Low,2,motorcycle ,1,No ,Metropolitian ,15,19.8,22,10.0
38,4.1,Stormy,High,0,motorcycle ,1,Yes ,Metropolitian ,41,1.6,11,5.0
32,4.3,Cloudy,Medium,1,scooter ,2,No ,Metropolitian ,35,10.3,18,15.0
20,4.5,Windy,Jam,2,motorcycle ,1,No ,Metropolitian ,27,10.9,20,10.0
29,4.5,Fog,Low,2,scooter ,0,No ,Metropolitian ,12,8.9,22,10.0
31,4.4,Stormy,Jam,0,motorcycle ,1,No ,Urban ,47,16.7,21,5.0
37,4.5,Fog,Low,0,motorcycle ,1,No ,Urban ,26,7.6,23,5.0
36,4.9,Cloudy,Medium,2,electric_scooter ,1,No ,Metropolitian ,31,13.2,17,15.0
37,3.8,Sandstorms,Jam,1,motorcycle ,1,No ,Metropolitian ,42,20.9,20,10.0
38,4.9,Cloudy,High,2,scooter ,0,No ,Metropolitian ,25,6.2,13,10.0
37,4.4,Sandstorms,Jam,0,motorcycle ,1,No ,Metropolitian ,39,11.9,22,10.0
21,4.9,Fog,Low,2,scooter ,1,No ,Metropolitian ,21,13.7,23,10.0
35,4.9,Fog,Medium,2,electric_scooter ,0,No ,Metropolitian ,18,4.5,18,5.0
22,4.8,Sandstorms,Jam,1,scooter ,1,No ,Urban ,22,13.4,20,15.0
28,4.8,Fog,Low,0,motorcycle ,1,No ,Metropolitian ,23,3.1,8,15.0
39,4.0,Stormy,Medium,0,motorcycle ,0,No ,Metropolitian ,48,20.2,17,10.0
29,4.5,Windy,Low,1,scooter ,0,No ,Urban ,13,12.4,22,15.0
25,4.9,Sandstorms,Jam,2,electric_scooter ,0,No ,Urban ,16,20.2,21,5.0
34,5.0,Cloudy,Medium,2,electric_scooter ,0,No ,Urban ,19,4.7,17,5.0
22,4.8,Sunny,Low,1,motorcycle ,1,No ,Metropolitian ,18,3.1,9,5.0
27,5.0,Windy,Jam,0,motorcycle ,1,No ,Metropolitian ,27,10.4,21,10.0
28,4.5,Sunny,Medium,0,motorcycle ,1,No ,Urban ,25,10.7,17,10.0
32,5.0,Stormy,Medium,2,scooter ,1,No ,Metropolitian ,31,4.7,18,15.0
29,4.7,Fog,Jam,2,scooter ,1,No ,Metropolitian ,39,16.6,19,9.0
27,4.6,Sunny,Medium,0,motorcycle ,0,No ,Metropolitian ,20,10.8,18,5.0
35,3.9,Windy,Jam,1,motorcycle ,2,No ,Metropolitian ,38,12.2,20,15.0
22,4.6,Windy,Low,1,motorcycle ,1,No ,Metropolitian ,19,4.7,23,5.0
30,4.6,Cloudy,Low,0,motorcycle ,0,No ,Urban ,24,1.5,10,15.0
39,4.8,Fog,High,2,scooter ,1,No ,Urban ,26,3.1,11,5.0
33,4.8,Sandstorms,Medium,2,motorcycle ,1,No ,Metropolitian ,28,9.2,18,10.0
20,4.7,Sandstorms,Medium,2,scooter ,1,No ,Urban ,16,12.3,17,5.0
34,4.2,Windy,Low,0,motorcycle ,0,No ,Urban ,24,9.3,23,5.0
22,4.7,Windy,Medium,0,motorcycle ,0,No ,Metropolitian ,24,10.9,17,15.0
37,4.3,Stormy,High,2,scooter ,1,No ,Metropolitian ,34,3.0,12,10.0
20,4.8,Cloudy,Low,1,motorcycle ,1,No ,Urban ,16,1.5,9,15.0
33,4.9,Windy,Low,1,motorcycle ,1,No ,Metropolitian ,26,7.6,22,10.0
21,5.0,Fog,Medium,1,motorcycle ,1,No ,Metropolitian ,25,19.7,17,5.0
33,4.6,Fog,Medium,0,motorcycle ,2,No ,Metropolitian ,49,10.6,17,15.0
24,4.6,Windy,Medium,2,electric_scooter ,0,No ,Urban ,24,12.4,18,10.0
30,4.6,Sunny,Medium,0,motorcycle ,1,No ,Metropolitian ,26,4.6,19,10.0
32,4.9,Sandstorms,Low,1,scooter ,1,No ,Metropolitian ,24,13.8,0,15.0
28,4.6,Stormy,Jam,2,electric_scooter ,0,No ,Metropolitian ,16,20.0,19,5.0
21,4.7,Windy,Jam,2,scooter ,1,No ,Metropolitian ,27,19.4,20,10.0
39,4.9,Fog,High,0,motorcycle ,1,No ,Metropolitian ,25,3.1,11,5.0
20,4.5,Sandstorms,Jam,1,scooter ,1,No ,Urban ,25,9.2,19,5.0
36,5.0,Fog,Low,2,scooter ,1,No ,Urban ,15,1.5,8,5.0
28,4.8,Sunny,Low,1,scooter ,1,No ,Urban ,18,3.1,11,5.0
32,4.5,Fog,Jam,0,motorcycle ,1,No ,Metropolitian ,30,7.7,20,5.0
30,4.7,Windy,Low,0,motorcycle ,1,No ,Metropolitian ,24,16.7,22,5.0
32,4.4,Sandstorms,Medium,0,motorcycle ,1,No ,Metropolitian ,37,6.1,16,5.0
23,4.6,Windy,Jam,0,motorcycle ,1,No ,Metropolitian ,27,13.6,21,5.0
21,4.8,Windy,Medium,2,scooter ,1,No ,Metropolitian ,27,6.1,15,10.0
31,4.2,Windy,Medium,2,electric_scooter ,1,No ,Metropolitian ,32,9.1,17,10.0
37,4.6,Stormy,High,2,electric_scooter ,1,No ,Urban ,28,3.1,12,15.0
20,4.5,Sandstorms,Jam,0,motorcycle ,1,No ,Metropolitian ,29,7.6,20,5.0
